stock_name,group,trading_symbol,instrument_key,ath,cp,prev_change_pct,today_change_pct,ema5,ema10,ema20,last_updated
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,NSE_EQ|INE437A01024,0.0,0,0,0,0,0,0,0
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,NSE_EQ|INE438A01022,0.0,0,0,0,0,0,0,0
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,NSE_EQ|INE852O01025,0.0,0,0,0,0,0,0,0
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,NSE_EQ|INE439A01020,0.0,0,0,0,0,0,0,0
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,NSE_EQ|INE208A01029,0.0,0,0,0,0,0,0,0
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,NSE_EQ|INE021A01026,0.0,0,0,0,0,0,0,0
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,NSE_EQ|INE914M01019,0.0,0,0,0,0,0,0,0
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,NSE_EQ|INE203A01020,0.0,0,0,0,0,0,0,0
Astral Ltd.,Capital Goods,ASTRAL,NSE_EQ|INE006I01046,0.0,0,0,0,0,0,0,0
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,NSE_EQ|INE0LEZ01016,0.0,0,0,0,0,0,0,0
Atul Ltd.,Chemicals,ATUL,NSE_EQ|INE100A01010,0.0,0,0,0,0,0,0,0
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,NSE_EQ|INE406A01037,0.0,0,0,0,0,0,0,0
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,NSE_EQ|INE206F01022,0.0,0,0,0,0,0,0,0
Avenue Supermarts Ltd.,Consumer Services,DMART,NSE_EQ|INE192R01011,0.0,0,0,0,0,0,0,0
Axis Bank Ltd.,Financial Services,AXISBANK,NSE_EQ|INE238A01034,0.0,0,0,0,0,0,0,0
BASF India Ltd.,Chemicals,BASF,NSE_EQ|INE373A01013,0.0,0,0,0,0,0,0,0
BEML Ltd.,Capital Goods,BEML,NSE_EQ|INE258A01024,0.0,0,0,0,0,0,0,0
BLS International Services Ltd.,Consumer Services,BLS,NSE_EQ|INE153T01027,0.0,0,0,0,0,0,0,0
BSE Ltd.,Financial Services,BSE,NSE_EQ|INE118H01025,0.0,0,0,0,0,0,0,0
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,NSE_EQ|INE917I01010,0.0,0,0,0,0,0,0,0
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,NSE_EQ|INE296A01032,0.0,0,0,0,0,0,0,0
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,NSE_EQ|INE918I01026,0.0,0,0,0,0,0,0,0
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,NSE_EQ|INE118A01012,0.0,0,0,0,0,0,0,0
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,NSE_EQ|INE377Y01014,0.0,0,0,0,0,0,0,0
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,NSE_EQ|INE787D01026,0.0,0,0,0,0,0,0,0
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,NSE_EQ|INE119A01028,0.0,0,0,0,0,0,0,0
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,NSE_EQ|INE545U01014,0.0,0,0,0,0,0,0,0
Bank of Baroda,Financial Services,BANKBARODA,NSE_EQ|INE028A01039,0.0,0,0,0,0,0,0,0
Bank of India,Financial Services,BANKINDIA,NSE_EQ|INE084A01016,0.0,0,0,0,0,0,0,0
Bank of Maharashtra,Financial Services,MAHABANK,NSE_EQ|INE457A01014,0.0,0,0,0,0,0,0,0
Bata India Ltd.,Consumer Durables,BATAINDIA,NSE_EQ|INE176A01028,0.0,0,0,0,0,0,0,0
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,NSE_EQ|INE462A01022,0.0,0,0,0,0,0,0,0
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,NSE_EQ|INE463A01038,0.0,0,0,0,0,0,0,0
Bharat Dynamics Ltd.,Capital Goods,BDL,NSE_EQ|INE171Z01026,0.0,0,0,0,0,0,0,0
Bharat Electronics Ltd.,Capital Goods,BEL,NSE_EQ|INE263A01024,0.0,0,0,0,0,0,0,0
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,NSE_EQ|INE465A01025,0.0,0,0,0,0,0,0,0
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,NSE_EQ|INE257A01026,0.0,0,0,0,0,0,0,0
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,NSE_EQ|INE029A01011,0.0,0,0,0,0,0,0,0
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,NSE_EQ|INE397D01024,0.0,0,0,0,0,0,0,0
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,NSE_EQ|INE343G01021,0.0,0,0,0,0,0,0,0
